"CO2" "Incid" "CA" "CA3" "Port.Port.1" "Port.Port.2" "Port.Port.3" "Port.Port.4" "Port.Port.5" "Port.Port.6" "Port.Port.7" "Port.Port.8" "Port.Port.9" "Port.Port.10" "Port.Port.11" "Port.Port.12" "Port.Port.13" "Port.Port.14" "Port.Port.15" "Port.Port.16" "Port.Port.17" "Port.Port.18" "Port.Port.19" "Port.Port.20" "Port.Port.21" "Port.Port.22" "Port.Port.23" "Port.Port.24" "Port.Port.25" "Port.Port.26" "Port.Port.27" "Port.Port.28" "Port.Port.29" "Port.Port.30" "Port.Port.31" "Port.Port.32" "Port.Port.33" "Port.Port.34" "Port.Port.35" "Port.Port.36" "Port.Port.37" "Port.Port.38" "Port.Port.39" "Port.Port.40" "Port.Port.41" "Port.Port.42" "Port.Port.43" "Port.Port.44" "Port.Port.45" "Port.Port.46" "Port.Port.47" "Port.Port.48" "Port.Port.49" "Port.Port.50" "Port.Port.51" "Port.Port.52" "Port.Port.53" "Port.Port.54" "Port.Port.55" "Port.Port.56" "Port.Port.57" "Port.Port.58" "Port.Port.59" "Port.Port.60"
"1" 6.26 11 0 0 24.61 0.65 9.51 0.25 9.03 0.71 15.22 18.33 19.99 21.24 7.47 5 1.73 17.8 29.01 6.67 15.17 0.61 28.62 4.27 20.73 12.86 4.56 1.09 10.99 22.48 4.34 21.84 0.85 13.83 2.09 10.58 22.06 15.57 11.34 6.81 10.44 6.36 4.86 8.65 4.16 8.23 4.18 0.86 10.33 1.69 10.05 0.25 2.02 7.09 15.17 6.83 6.16 18.91 10.6 14.74 18.42 16.27 13.34 17.17
"2" 7.51 8 0 1 24.43 1.84 12.94 0.56 8.04 1.31 12.62 19.36 17.67 19.93 2.94 5.24 3.55 16.19 30.09 8.86 14.78 3.7 26.9 7.34 25.08 8.39 1.61 9.96 9.07 23.33 5.95 22.71 5.79 7.18 2.67 8.43 17.61 12.13 9.34 0.07 11.57 9.58 4.78 2.49 4.92 11.3 6.46 2.71 13.28 5.6 9.83 4.73 4.78 7.43 10.85 5.95 6.82 19.1 10.29 12.02 16.95 16.63 14.57 19.5
"3" 4.97 8 0 0 25.4 1.57 12.32 4.38 8.88 5.9 14.58 17.83 17.52 18.59 5.71 7.42 1.69 16.79 30.23 9.18 15.16 0.28 28.31 10.12 17.94 12.73 0.67 2.94 8.51 23.62 4.3 24.88 4.11 14.2 0.06 12.98 29.33 16.37 13.41 3.28 12.3 8.64 7.86 4.89 2.73 9.71 6 2.59 4.05 1.02 11.28 4.51 5.42 3.25 10.1 2.38 8.97 15.14 8.57 15.61 14.38 7.92 13.26 22
"4" 6.27 9 0 1 27.41 2.54 12.2 1.23 9.57 2.49 15.45 18.5 19.31 21.66 9.41 6.59 2.05 19.74 29.41 8.52 14.2 2.75 29.99 5.48 23.85 9.06 5.65 4.19 11.43 22.56 6.03 19.47 2.98 10.73 1.67 5.53 17.74 14.02 13.18 4.64 15.74 9.96 5.25 6 2.94 10.52 9.5 1.72 9.6 8.42 14.22 1.91 5.1 11.5 9.38 1.71 8.04 15.97 10.47 12.99 15.6 12.39 12.41 24.49
"5" 7.2 34 1 2 23.85 2.45 11.46 7.94 13.02 4.96 15.04 17.77 12.99 20.52 2.81 7.48 2.16 12.47 30.44 3.43 18.64 0.25 24.9 9.59 20.2 13.8 1.49 2.08 5.56 23.32 6.55 25.57 7.83 11.58 2.59 11.65 24.67 18.42 16.19 4.11 12.31 5.52 8.78 6.5 5.05 8.73 2.9 3.59 10.54 1.61 9.63 6.86 3.67 4.06 15.79 5.93 6.7 18.09 11.76 14.07 23.97 18.75 14.56 20.99
"6" 6.81 22 0 1 24.61 2.11 12.16 6.85 12.32 4.5 16.29 17.39 17.21 23.69 9.59 9.78 3.15 17.65 30.89 8.01 17.16 3.52 27.16 9.44 21.28 9.26 5.5 3.92 10.38 23.53 7.13 23.42 5 17.87 4 12.5 25.82 16.04 17.55 4.22 17.43 10.77 6.83 6.15 6.62 7.26 2.88 4.95 16.28 0.24 5.82 0.1 0.18 10.82 10.63 6.84 5.33 18.05 12 8.52 18.96 17.94 10.34 22.67
"7" 7.41 3 0 0 17.1 1.95 8.94 1.65 11.83 4.8 17.12 15.25 18.74 19.3 3.92 3.79 3.94 14.24 27.85 6.45 17.19 0.34 26.05 6.89 20.84 11.54 2.79 1.81 2.03 20.1 5.72 26.76 4.9 12.92 2.1 10.9 28.07 17.5 16.9 4.94 12.66 10.02 7.52 1.55 3.06 7.6 7.92 5.27 9.15 1.02 10.21 5.79 3.49 8.96 15.94 7.8 7.22 16.54 10.68 14.13 22.6 14.45 11.19 20.03
"8" 8.41 94 1 2 23.49 3.87 11.92 7.76 16.53 6.7 15.97 17.32 14.71 20.57 2.73 7.1 6.33 14.75 29.2 7.24 18.62 2.25 25.45 10.44 21.29 13.45 2.53 4.27 13.71 21.45 5.8 17.58 2.94 9.25 1.48 6.02 21.87 19.23 14.09 10.18 14.71 10.73 3.79 6.12 4.54 11.26 2.38 1.36 8.85 1.08 8.89 5.4 3.48 8.19 15.55 5.32 8.39 18.9 11.48 14.78 17.39 16.12 10.81 19.04
"9" 7.65 29 0 0 23.41 0.18 13.67 4.64 11.43 0.68 16.2 17.45 14.41 23.67 5.11 6.47 5.47 13.48 28.6 9.07 13.77 2.36 26.03 4.95 20.79 11.03 1.9 2.58 4.54 24.69 4.98 24.07 2.97 11.31 2.44 12.3 25.24 14.02 12.28 6.89 12.86 9.17 2.7 3.14 3.71 7.47 4.58 0.57 8.62 1.03 12.04 2.2 3.63 11.15 12.87 7.77 8.47 17.75 9.1 13.45 18.97 14.63 13.95 16.88
"10" 6.33 29 0 1 19.59 1.02 10.79 2.56 10.87 1.54 15.08 17.64 16.75 20.87 5.87 7.69 5.09 13.19 28.43 5.89 15.41 0.95 25.5 7.06 21.67 9.58 4.75 4.04 8.25 23.18 7.95 23.25 6.61 12.54 5 5.43 24.34 13.89 13.92 4.5 13.16 12.04 3.09 5.24 4.07 6.95 4.9 6.01 6.79 0.45 10.85 2.35 3.05 3.59 17.52 6.45 6.99 19.49 13.15 12.19 23.38 21.08 11.09 19.3
